label,x,y,plot_type,plot_num
o_o7_1,22720.105936760865,3399.3593248426378,path,0
o_o7_1,26550.745246942093,3508.1880003640604,path,0
o_o7_1,31027.23531000051,4576.274118989315,path,0
o_o7_1,36258.467400007066,6068.584243608828,path,0
o_o7_1,42371.69200098326,7116.139382720066,path,0
o_o7_1,49515.61419349568,7346.207182859432,path,0
o_o7_1,57864.01092744215,7441.286057102392,path,0
o_o7_1,67619.9581717189,8268.69681852788,path,0
o_o7_1,79020.77076679993,9567.34421377605,path,0
o_o7_1,92343.77514286486,10444.460762443636,path,0
o_o7_1,107913.0553256855,12123.812660881187,path,0
o_o7_1,126107.33632784824,14489.856398738928,path,0
o_o7_1,147369.19668995598,18351.124014905592,path,0
o_o7_1,172215.83426821633,18351.124014905592,path,0
o_o7_1,201251.64714777266,24228.68646811526,path,0
o_o7_1,235182.93571432977,29623.559491662356,path,0
o_o7_1,274835.08351411193,35072.43200267094,path,0
o_o7_1,321172.63482907694,35072.43200267094,path,0
o_o7_1,375322.7573573412,45088.906350201585,path,0
o_o7_1,438602.66073193063,51993.32347213561,path,0
o_o7_1,512551.6378373316,51993.32347213561,path,0
o_o7_1,598968.5083335512,51672.45152161218,path,0
o_o7_1,699955.3752068589,42917.16690783992,path,0
o_o7_1,817968.7587317047,42917.16690783992,path,0
o_o7_1,955879.3516848872,35280.02276372351,path,0
o_o7_1,1117041.8493663,29341.2222511623,path,0
o_o7_1,1305376.5530516736,27151.42896405731,path,0
o_o7_1,1525464.731893216,30820.952915284957,path,0
o_o7_1,1782660.0629603348,31872.55497782749,path,0
o_o7_1,2083218.860215646,32288.537835119067,path,0
o_o7_1,2434452.26026513,28234.976202616588,path,0
o_o7_1,2844904.0668230653,23717.497511663227,path,0
o_o7_1,3324558.5799842197,23717.497511663227,path,0
o_o7_1,3885083.4657807527,23717.497511663227,path,0
o_o7_1,4540113.573861165,23717.497511663227,path,0
o_o7_1,5305582.607197874,23717.497511663227,path,0
o_o7_1,6200110.711737328,23717.497511663227,path,0
o_o7_1,7245457.414167482,23717.497511663227,path,0
o_o7_1,8467050.925580084,23717.497511663227,path,0
o_o7_1,9894606.68641638,23717.497511663227,path,0
o_o7_1,11562850.198892374,23717.497511663227,path,0
o_o7_1,13512361.729908092,23717.497511663227,path,0
o_o7_1,15790563.43196203,23717.497511663227,path,0
o_o7_1,18452872.893931396,23717.497511663227,path,0
o_o7_1,21564051.182008907,23717.497511663227,path,0
o_o7_1,25199778.162089173,23717.497511663227,path,0
o_o7_1,29448493.42355106,23717.497511663227,path,0
o_o7_1,34413547.58517574,23717.497511663227,path,0
o_o7_1,40215716.31403161,23717.497511663227,path,0
o_o7_1,46996138.2112012,23717.497511663227,path,0
o_o7_1,54919748.028850034,23717.497511663227,path,0
o_o7_1,64179288.73214281,23717.497511663227,path,0
o_o7_1,75000000.00000001,20156.56539361588,path,0
o_o7_2,0.0,15800.485555230396,path,1
o_o7_2,15.0,15800.485555230396,path,1
o_o7_2,17.529019442631643,15800.485555230396,path,1
o_o7_2,20.48443484134386,14977.234945790166,path,1
o_o7_2,23.938137107015837,14299.983757790475,path,1
o_o7_2,27.97413805128415,13868.276111401261,path,1
o_o7_2,32.690613986121434,13706.506064980773,path,1
o_o7_2,38.202293876952574,13754.820086032203,path,1
o_o7_2,44.64325014148192,13896.541373458223,path,1
o_o7_2,52.170159980820294,13896.541373458223,path,1
o_o7_2,60.96611657526676,14012.80941429488,path,1
o_o7_2,71.2450828526399,14080.111869144206,path,1
o_o7_2,83.25709616772171,14129.846075073854,path,1
o_o7_2,97.29435049740309,14193.326851488917,path,1
o_o7_2,113.69830410181311,14242.322337482337,path,1
o_o7_2,132.86798554632833,14175.246766771223,path,1
o_o7_2,155.2697001296593,14175.246766771223,path,1
o_o7_2,181.44837282829218,13860.480973600383,path,1
o_o7_2,212.04080367606707,13345.06128895252,path,1
o_o7_2,247.79115801793446,12744.60423415417,path,1
o_o7_2,289.5690684405722,12192.255614262924,path,1
o_o7_2,338.390788711968,11778.990446414007,path,1
o_o7_2,395.4439143026361,11519.805631105262,path,1
o_o7_2,462.1162708187511,11519.805631105262,path,1
o_o7_2,540.0296730625543,11344.066143782715,path,1
o_o7_2,631.0793759141013,11520.120149829683,path,1
